"","Time","AgeGrpStart","ISO3_code","PopTotal"
"463",2024,0,"",214682.357
"464",2024,5,"",195548.827
"465",2024,10,"",177100.519
"466",2024,15,"",154579.473
"467",2024,20,"",131831.35
"468",2024,25,"",113608.022
"469",2024,30,"",100121.543
"470",2024,35,"",88014.025
"471",2024,40,"",74195.003
"472",2024,45,"",59394.313
"473",2024,50,"",48005.462
"474",2024,55,"",38629.393
"475",2024,60,"",29822.351
"476",2024,65,"",21821.944
"477",2024,70,"",14759.923
"478",2024,75,"",8853.265
"479",2024,80,"",4343.809
"480",2024,85,"",1681.153
"481",2024,90,"",467.824
"482",2024,95,"",86.932
"483",2024,100,"",11.704
"484",2024,0,"",73288.756
"485",2024,5,"",66299.955
"486",2024,10,"",60935.885
"487",2024,15,"",54961.309
"488",2024,20,"",47214.579
"489",2024,25,"",39378.332
"490",2024,30,"",33050.318
"491",2024,35,"",27829.847
"492",2024,40,"",22722.836
"493",2024,45,"",18046.248
"494",2024,50,"",14130.998
"495",2024,55,"",10846.086
"496",2024,60,"",8227.168
"497",2024,65,"",5937.01
"498",2024,70,"",4048.916
"499",2024,75,"",2428.927
"500",2024,80,"",1196.398
"501",2024,85,"",465.817
"502",2024,90,"",136.416
"503",2024,95,"",28.806
"504",2024,100,"",5.304
"505",2024,0,"BDI",2093.679
"506",2024,5,"BDI",2012.344
"507",2024,10,"BDI",1907.147
"508",2024,15,"BDI",1524.621
"509",2024,20,"BDI",1119.648
"510",2024,25,"BDI",881.382
"511",2024,30,"BDI",869.218
"512",2024,35,"BDI",802.447
"513",2024,40,"BDI",671.512
"514",2024,45,"BDI",459.081
"515",2024,50,"BDI",323.443
"516",2024,55,"BDI",233.986
"517",2024,60,"BDI",180.351
"518",2024,65,"BDI",143.616
"519",2024,70,"BDI",100.501
"520",2024,75,"BDI",53.578
"521",2024,80,"BDI",26.264
"522",2024,85,"BDI",8.898
"523",2024,90,"BDI",1.899
"524",2024,95,"BDI",0.212
"525",2024,100,"BDI",0.008
"526",2024,0,"COM",114.727
"527",2024,5,"COM",109.571
